speaker	task	stance	SWN_sum	SWN_num_wds	SWN_max	SWN_score_rate	SWN_score_per_word	SWN_mean_score	NORMS_sum	NORMS_num_wd	NORMS_max	NORMS_score_rate	NORMS_score_per_word	NORMS_mean_score	NORMS_ar_sum	NORMS_ar_max	NORMS_ar_score_per_word	NORMS_ar_mean_score	NORMS_dom_sum	NORMS_dom_max	NORMS_dom_score_per_word	NORMS_dom_mean_score	EvalLex_sum	EvalLex_num_wd	EvalLex_max	EvalLex_score_rate	EvalLex_score_per_word	EvalLex_mean_score	EvalLex_emo_sum	EvalLex_emo_max	EvalLex_emo_score_per_word	EvalLex_emo_mean_score	NRC_sum	NRC_num_wds	NRC_max	NRC_score_rate	NRC_score_per_word	NRC_mean_score	Emo_sum	EMO_num_wds	EMO_max	EMO_score_rate	EMO_score_per_word	EMO_mean_score	SUBJ_totmarkers	SUBJ_proportion	argLex	argLex_prop	opLex	opLex_prop	effectLex	effectLex_prop	totalSubj	totalSubj_prop	totwds	text
Blankfein	NULL	0	1.0	3	0.5	0.375	0.125	0.3333333333333333	3.1799999999999997	1	2.7699999999999996	0.125	0.39749999999999996	3.1799999999999997	7.0	3.67	0.875	3.5	13.239999999999998	6.89	1.6549999999999998	6.619999999999999	0	0	0	0.0	0.0	0	0	0	0.0	0	0	0	0	0.0	0.0	0	1.345	4	0.5539999999999999	0.5	0.168125	0.33625	2	0.25	0	0.0	1	0.125	1	0.125	3	0.375	8	yes , i do . thank you .
Blankfein	NULL	0	0	0	0	0.0	0.0	0	2.7699999999999996	1	2.7699999999999996	0.3333333333333333	0.9233333333333332	2.7699999999999996	3.33	3.33	1.11	3.33	6.89	6.89	2.2966666666666664	6.89	0	0	0	0.0	0.0	0	0	0	0.0	0	0	0	0	0.0	0.0	0	0.5539999999999999	1	0.5539999999999999	0.3333333333333333	0.18466666666666665	0.5539999999999999	1	0.3333333333333333	0	0.0	1	0.3333333333333333	0	0.0	1	0.3333333333333333	3	thank you .
Blankfein	NULL	0	0.625	1	0.625	0.07142857142857142	0.044642857142857144	0.625	2.99	0	0.9500000000000002	0.0	0.21357142857142858	0	18.5	4.15	1.3214285714285714	3.7	30.46	6.89	2.1757142857142857	6.0920000000000005	0	0	0	0.0	0.0	0	0	0	0.0	0	0	0	0	0.0	0.0	0	0.8685	5	0.3545	0.35714285714285715	0.06203571428571429	0.17370000000000002	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	14	chairman levin , ranking member coburn , uh and members of the subcommittee .
Blankfein	NULL	0	0.875	2	0.5	0.2	0.0875	0.4375	5.069999999999999	2	2.7699999999999996	0.2	0.5069999999999999	2.5349999999999997	11.51	4.94	1.151	3.8366666666666664	18.68	6.89	1.8679999999999999	6.226666666666667	0	0	0	0.0	0.0	0	0	0	0.0	0	0	0	0	0.0	0.0	0	1.3464999999999998	4	0.5539999999999999	0.4	0.13465	0.33662499999999995	2	0.2	0	0.0	1	0.1	1	0.1	2	0.2	10	thank you for the invitation to appear before you today
Blankfein	NULL	0	2.125	6	0.5	0.42857142857142855	0.15178571428571427	0.3541666666666667	4.84	2	2.95	0.14285714285714285	0.3457142857142857	2.42	22.58	6.29	1.6128571428571428	4.516	24.27	5.84	1.7335714285714285	4.854	0	0	0	0.0	0.0	0	0	0	0.0	0	0.766	1	0.766	0.07142857142857142	0.054714285714285715	0.766	2.141	7	0.5770000000000001	0.5	0.15292857142857144	0.3058571428571429	1	0.07142857142857142	0	0.0	1	0.07142857142857142	1	0.07142857142857142	2	0.14285714285714285	14	as you examine some of the causes and consequences of the financial crisis .
Blankfein	NULL	1	1.75	4	0.625	0.2857142857142857	0.125	0.4375	1.0300000000000002	0	0.5	0.0	0.0735714285714286	0	14.09	4.55	1.0064285714285715	3.5225	20.8	6.33	1.4857142857142858	5.2	0	0	0	0.0	0.0	0	0	0	0.0	0	0.319	1	0.319	0.07142857142857142	0.022785714285714288	0.319	1.2191666666666667	5	0.33666666666666667	0.35714285714285715	0.08708333333333333	0.24383333333333335	3	0.21428571428571427	0	0.0	2	0.14285714285714285	1	0.07142857142857142	3	0.21428571428571427	14	today , the financial system is fragile , but it is largely stable .
Blankfein	NULL	1	1.625	4	0.5	0.21052631578947367	0.08552631578947369	0.40625	10.900000000000002	7	1.7800000000000002	0.3684210526315789	0.5736842105263159	1.5571428571428574	38.599999999999994	6.19	2.0315789473684207	3.8599999999999994	52.449999999999996	6.25	2.7605263157894733	5.244999999999999	0	0	0	0.0	0.0	0	0	0	0.0	0	0.7769999999999999	2	0.418	0.10526315789473684	0.04089473684210526	0.38849999999999996	2.5995	11	0.368	0.5789473684210527	0.1368157894736842	0.23631818181818182	4	0.21052631578947367	1	0.05263157894736842	3	0.15789473684210525	1	0.05263157894736842	4	0.21052631578947367	19	this stability is a result of decisive and necessary government action during the fall of two thousand eight .
Blankfein	NULL	0	2.5	6	0.625	0.3	0.125	0.4166666666666667	7.430000000000001	3	2.4400000000000004	0.15	0.37150000000000005	2.476666666666667	36.3	4.73	1.815	4.033333333333333	46.85	6.64	2.3425000000000002	5.205555555555556	0	0	0	0.0	0.0	0	0	0	0.0	0	0.359	1	0.359	0.05	0.01795	0.359	2.7095000000000002	13	0.35350000000000004	0.65	0.135475	0.20842307692307693	1	0.05	0	0.0	1	0.05	2	0.1	2	0.1	20	like other financial institutions , goldman sachs received an investment from the government as a part of its various efforts
Blankfein	NULL	0	0.25	1	0.25	0.14285714285714285	0.03571428571428571	0.25	2.57	2	1.3599999999999999	0.2857142857142857	0.3671428571428571	1.285	8.870000000000001	5.32	1.2671428571428573	4.4350000000000005	9.93	5.77	1.4185714285714286	4.965	0	0	0	0.0	0.0	0	0	0	0.0	0	0	0	0	0.0	0.0	0	0.503	2	0.261	0.2857142857142857	0.07185714285714286	0.2515	0	0.0	0	0.0	0	0.0	2	0.2857142857142857	2	0.2857142857142857	7	to fortify our markets and the economy
Blankfein	NULL	0	1.875	4	0.75	0.6666666666666666	0.3125	0.46875	1.8199999999999998	1	1.2200000000000002	0.16666666666666666	0.3033333333333333	1.8199999999999998	7.86	4.45	1.31	3.93	8.14	4.36	1.3566666666666667	4.07	0	0	0	0.0	0.0	0	0	0	0.0	0	0.359	1	0.359	0.16666666666666666	0.05983333333333333	0.359	1.3443333333333332	4	0.43499999999999994	0.6666666666666666	0.22405555555555554	0.3360833333333333	2	0.3333333333333333	1	0.16666666666666666	1	0.16666666666666666	1	0.16666666666666666	3	0.5	6	during a very difficult time .
